ID,馬名,性別,年齢,父,馬体重,オークション日,落札価格,落札時賞金,現在賞金,ROI,リンク,病歴,繁殖
293,フシゼンナガール,牝,2,エスポワールシチー,466,2025-09-21,1190000,525000,688000,13.7,https://auction.keiba.rakuten.co.jp/item/15036,,
719,オメガストリーム,牝,3,アルアイン,476,2025-09-04,1190000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14864,さく癖 / 跛行,
1931,マイネルシスネロス,牡,7,キングカメハメハ,478,2024-09-26,1190000,26198000,0,-2201.5,https://auction.keiba.rakuten.co.jp/item/13096,屈腱炎 / 鼻出血,
466,サフラナール,牝,2,マジェスティックウォリアー,454,2025-08-03,1180000,70000,0,-5.9,https://auction.keiba.rakuten.co.jp/item/14602,,
2442,エイシンドップラー,牡,3,エーシントップ,489,,1180000,3375000,0,-286.0,https://auction.keiba.rakuten.co.jp/item/13083,,
1568,フィザリス,牡,3,タリスマニック,464,2025-02-13,1180000,1500000,0,-127.1,https://auction.keiba.rakuten.co.jp/item/13724,,
2047,フラメンタ,牝,2,ディーマジェスティ,430,2024-10-24,1180000,1700000,0,-144.1,https://auction.keiba.rakuten.co.jp/item/13214,,
517,バインドロック,牝,4,エスポワールシチー,468,2025-08-10,1180000,4472000,0,-379.0,https://auction.keiba.rakuten.co.jp/item/14655,骨瘤,
1362,タイガードラゴン,牡,3,ミュゼスルタン,456,2024-12-19,1180000,7200000,0,-610.2,https://auction.keiba.rakuten.co.jp/item/13517,骨折,
1425,ココリホウオウ,セ,7,ワールドエース,468,2025-01-09,1170000,52443000,0,-4482.3,https://auction.keiba.rakuten.co.jp/item/13580,,
926,オーサムシャドウ,牝,3,ドレフォン,416,2025-05-08,1170000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14074,,
2253,ナウズザタイム,牝,4,リアルインパクト,470,2024-11-28,1170000,14700000,0,-1256.4,https://auction.keiba.rakuten.co.jp/item/13422,骨折,
1342,エアセイラン,牡,7,Air Force Blue,490,2025-07-17,1170000,23635000,0,-2020.1,https://auction.keiba.rakuten.co.jp/item/14497,骨折 / 骨片,
1600,ビップアクア,牝,6,ディープブリランテ,461,2025-02-20,1170000,26915000,0,-2300.4,https://auction.keiba.rakuten.co.jp/item/13756,疝痛 / 腸捻転,
1275,ルディシャ,牡,3,レイデオロ,460,2025-07-10,1170000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14428,,
2115,アパショナード,牡,5,ワールドエース,428,2024-11-07,1160000,13690000,0,-1180.2,https://auction.keiba.rakuten.co.jp/item/13283,,
1097,ファストパスキー,牡,3,モーリス,450,2025-06-05,1160000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14248,さく癖,
1273,マイネルゲミュート,牡,3,ウインブライト,436,2025-07-10,1160000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/14426,打撲 / 裂傷,
639,ベルジャッド,牝,3,ブリックスアンドモルタル,414,2025-08-24,1160000,840000,0,-72.4,https://auction.keiba.rakuten.co.jp/item/14782,,
2447,ジーモンスター,牡,3,モズアスコット,506,2026-01-08,1160000,3270000,0,-281.9,https://auction.keiba.rakuten.co.jp/item/15536,屈腱炎,
399,サンジャシント(IRE),牡,3,Earthlight,484,2025-07-24,1160000,1100000,0,-94.8,https://auction.keiba.rakuten.co.jp/item/14535,DDSP,
2210,チェスター,牡,2,トーセンレーヴ,470,2024-11-21,1160000,0,0,0.0,https://auction.keiba.rakuten.co.jp/item/13379,蟻洞,
